//al	ɑ
//aa	æ
//be	ß
//ou	ɔ
//thv	ð
//dzh	ʤ
//uh-	ə
//ehh	ɛ
//ih	ɪ
//ld	ɫ
//mg	ɱ
//ng	ŋ
//nj	ɳ
//th-	θ
//th+	ð
//ren	ɹ
//fl	ɾ
//rhe	ʀ
//sh	ʃ
//tsh	ʧ
//ook	ʊ
//uh+	ʌ
//gsp	ɣ
//whip	ʍ
//kh	χ
//zh	ʒ
//glot	ʔ
